Fri, 23 Oct 15 10:31:51 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to 140dev
Fri, 23 Oct 15 10:36:18 +0000 | get_tweets.php -> __construct | Unable to connect to DB | attempted connection to 140dev
Tue, 03 Nov 15 15:50:02 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661487991181840385' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661487991181840385, tweet_text = "Guys Big savings on our diwali shopping courtesy this big sale from shop clues #ZyadaBachao https://t.co/io9KPpe2xI", created_at = "2015-11-03 15:50:01", geo_lat = 0, geo_long = 0, user_id = 383179849, screen_name = "sujaykoner", name = "Sujay Koner", profile_image_url = "http://pbs.twimg.com/profile_images/659925252122656768/H689NE_A_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:04 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661487999885180928' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661487999885180928, tweet_text = "Total dhamaka deals on @ShopClues Click - https://t.co/AtmiTHWqjS … #ZyadaBachao", created_at = "2015-11-03 15:50:03", geo_lat = 0, geo_long = 0, user_id = 204584552, screen_name = "SarAthSivaJr", name = "Sarath", profile_image_url = "http://pbs.twimg.com/profile_images/640126908575776768/mR6nq2Ck_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:17 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488053962342400' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488053962342400, tweet_text = "#ZyadaBachao sale is on @ShopClues Shop more and save more! https://t.co/VnwQ9Fst68", created_at = "2015-11-03 15:50:16", geo_lat = 0, geo_long = 0, user_id = 563532914, screen_name = "JadduJhappi", name = "Divya", profile_image_url = "http://pbs.twimg.com/profile_images/639633992199725057/YFFuXgyt_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:18 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488057762230272' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488057762230272, tweet_text = "@reebokindia biggest wish to win dearest team ☺️☺️ #GetPumped", created_at = "2015-11-03 15:50:17", geo_lat = 0, geo_long = 0, user_id = 1437436536, screen_name = "MehtaJazzie", name = "Dr.Jasmine Mehta", profile_image_url = "http://pbs.twimg.com/profile_images/639180199121195008/PqyQiiCh_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:18 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488059070877696' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488059070877696, tweet_text = "I have brought something for my loved ones.\n#ZyadaBachao @ShopClues  https://t.co/9r14Q0kfKQ", created_at = "2015-11-03 15:50:17", geo_lat = 0, geo_long = 0, user_id = 165256627, screen_name = "Lovely_Sathish", name = "Ugly Indian™ ツ", profile_image_url = "http://pbs.twimg.com/profile_images/640143426625781761/ZBpUnyLg_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:19 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488061759393792' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488061759393792, tweet_text = "Cooking mates! Get Non-stick Cookware set at Rs.349 just on https://t.co/F105F6QT0Y.… #ZyadaBachao @ShopClues", created_at = "2015-11-03 15:50:18", geo_lat = 0, geo_long = 0, user_id = 165256627, screen_name = "Lovely_Sathish", name = "Ugly Indian™ ツ", profile_image_url = "http://pbs.twimg.com/profile_images/640143426625781761/ZBpUnyLg_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:19 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488062648729600' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488062648729600, tweet_text = "Grab upto 91% off on toys @ShopClues  #ZyadaBachao https://t.co/vx0zWbijhX https://t.co/3Y3m3L7eyg", created_at = "2015-11-03 15:50:18", geo_lat = 0, geo_long = 0, user_id = 1659703957, screen_name = "iam_bajaj", name = "Mohit Jain", profile_image_url = "http://pbs.twimg.com/profile_images/660513308118642688/o9WHwRsQ_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:19 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488061453332480' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488061453332480, tweet_text = "I am loving all the offers @ShopClues :) #ZyadaBachao https://t.co/AtmiTHWqjS", created_at = "2015-11-03 15:50:18", geo_lat = 0, geo_long = 0, user_id = 204584552, screen_name = "SarAthSivaJr", name = "Sarath", profile_image_url = "http://pbs.twimg.com/profile_images/640126908575776768/mR6nq2Ck_normal.jpg", is_rt = 0
Tue, 03 Nov 15 15:50:21 +0530 | /Project/TwitterApp/ajax/twitter-track/parse_tweets.php -> insert | Duplicate entry '661488070756163584' for key 'PRIMARY' | INSERT INTO tweets SET tweet_id = 661488070756163584, tweet_text = "#ZyadaBachao with @ShopClues \n@AaStHa_M Check out the Diwali offers here: https://t.co/IkfHyBWyBW …", created_at = "2015-11-03 15:50:20", geo_lat = 0, geo_long = 0, user_id = 63966662, screen_name = "cherrykaur", name = "Cherry", profile_image_url = "http://pbs.twimg.com/profile_images/641070239493435393/ePsOb3qn_normal.jpg", is_rt = 0
